week_start,week_end,record_type,center,channel,campaign,asset,metric_name,metric_value,target_value,decision,priority,owner,due_date,status,topic,content_type,keyword,cta,funnel_stage,source_signal,notes
2026-02-23,2026-03-01,CONTENT_PLAN,bhubaneswar,organic,blog,website,content_item_1,ENTER,ENTER,ENTER,P1,content.writer,ENTER,planned,ENTER,patient_blog,ENTER,Book Assessment,mofu,objection_1,Patient-facing weekly blog
2026-02-23,2026-03-01,CONTENT_PLAN,network,organic,reel,instagram,content_item_2,ENTER,ENTER,ENTER,P1,social.lead,ENTER,planned,ENTER,reel_script,ENTER,Call/WhatsApp,tofu,objection_2,Short reel mapped to objection
2026-02-23,2026-03-01,CONTENT_PLAN,network,organic,clinical-insight,website,content_item_3,ENTER,ENTER,ENTER,P2,clinical.writer,ENTER,planned,ENTER,doctor_blog,ENTER,Clinical Relations,mofu,intent_cluster,Doctor-facing technical article with citation
2026-02-23,2026-03-01,ACTION_ITEM,network,all,all,all,owner_action_1,ENTER,ENTER,ENTER,P1,marketing.head,ENTER,open,,,,,,,Owner action from CEO review
2026-02-23,2026-03-01,ACTION_ITEM,network,all,all,all,owner_action_2,ENTER,ENTER,ENTER,P1,ivr.lead01,ENTER,open,,,,,,,Owner action from CEO review
2026-02-23,2026-03-01,ACTION_ITEM,network,all,all,all,owner_action_3,ENTER,ENTER,ENTER,P1,crm.ops01,ENTER,open,,,,,,,Owner action from CEO review
2026-02-23,2026-03-01,COMPLIANCE,network,all,all,all,agency_rows_submitted_days,ENTER,7,ENTER,P1,agency.gp01,ENTER,open,,,,,,,Should be 7/7 days
2026-02-23,2026-03-01,COMPLIANCE,network,all,all,all,field_rows_submitted_days,ENTER,7,ENTER,P1,field.lead,ENTER,open,,,,,,,Should be 7/7 days
2026-02-23,2026-03-01,COMPLIANCE,network,all,all,all,tv_rows_submitted_days,ENTER,7,ENTER,P2,agency.gp01,ENTER,open,,,,,,,If TV active during week
2026-02-23,2026-03-01,COMPLIANCE,network,all,all,all,workboard_completion_pct,ENTER,95,ENTER,P1,crm.ops01,ENTER,open,,,,,,,Target daily execution compliance
